축구심판복	의상류	모든직업    레벨41 (AC -1), 무게1
미스티플레이트토	의상류	여자 전사 레벨26 (AC -26), 무게10
미스티플레이트풍	의상류	여자 전사 레벨26 (AC -27), 무게10
미스티플레이트화	의상류	여자 전사 레벨26 (AC -28), 무게10
수오미미스티플레이트	의상류	여자 전사 레벨26 (AC -24), 무게10
수오미미스티플레이트수	의상류	여자 전사 레벨26 (AC -25), 무게10
수오미미스티플레이트토	의상류	여자 전사 레벨26 (AC -26), 무게10
수오미미스티플레이트풍	의상류	여자 전사 레벨26 (AC -27), 무게10
수오미미스티플레이트화	의상류	여자 전사 레벨26 (AC -28), 무게10
뤼케시온미스티플레이트	의상류	여자 전사 레벨26 (AC -24), 무게10
뤼케시온미스티플레이트수	의상류	여자 전사 레벨26 (AC -25), 무게10
뤼케시온미스티플레이트토	의상류	여자 전사 레벨26 (AC -26), 무게10
뤼케시온미스티플레이트풍	의상류	여자 전사 레벨26 (AC -27), 무게10
뤼케시온미스티플레이트화	의상류	여자 전사 레벨26 (AC -28), 무게10
루어스미스티플레이트	의상류	여자 전사 레벨26 (AC -24), 무게10
루어스미스티플레이트수	의상류	여자 전사 레벨26 (AC -25), 무게10
루어스미스티플레이트토	의상류	여자 전사 레벨26 (AC -26), 무게10
루어스미스티플레이트풍	의상류	여자 전사 레벨26 (AC -27), 무게10
루어스미스티플레이트화	의상류	여자 전사 레벨26 (AC -28), 무게10
밀레스미스티플레이트	의상류	여자 전사 레벨26 (AC -24), 무게10
밀레스미스티플레이트수	의상류	여자 전사 레벨26 (AC -25), 무게10
밀레스미스티플레이트토	의상류	여자 전사 레벨26 (AC -26), 무게10
밀레스미스티플레이트풍	의상류	여자 전사 레벨26 (AC -27), 무게10
밀레스미스티플레이트화	의상류	여자 전사 레벨26 (AC -28), 무게10
카스뮴플레이트	의상류	여자 전사 레벨41 (AC -30), 무게13
카스뮴플레이트수	의상류	여자 전사 레벨41 (AC -31), 무게13
카스뮴플레이트토	의상류	여자 전사 레벨41 (AC -32), 무게13
카스뮴플레이트풍	의상류	여자 전사 레벨41 (AC -33), 무게13
카스뮴플레이트화	의상류	여자 전사 레벨41 (AC -34), 무게13
수오미카스뮴플레이트	의상류	여자 전사 레벨41 (AC -30), 무게13
수오미카스뮴플레이트수	의상류	여자 전사 레벨41 (AC -31), 무게13
수오미카스뮴플레이트토	의상류	여자 전사 레벨41 (AC -32), 무게13
수오미카스뮴플레이트풍	의상류	여자 전사 레벨41 (AC -33), 무게13
수오미카스뮴플레이트화	의상류	여자 전사 레벨41 (AC -34), 무게13
뤼케시온카스뮴플레이트	의상류	여자 전사 레벨41 (AC -30), 무게13
뤼케시온카스뮴플레이트수	의상류	여자 전사 레벨41 (AC -31), 무게13
뤼케시온카스뮴플레이트토	의상류	여자 전사 레벨41 (AC -32), 무게13
뤼케시온카스뮴플레이트풍	의상류	여자 전사 레벨41 (AC -33), 무게13
뤼케시온카스뮴플레이트화	의상류	여자 전사 레벨41 (AC -34), 무게13
루어스카스뮴플레이트	의상류	여자 전사 레벨41 (AC -30), 무게13
루어스카스뮴플레이트수	의상류	여자 전사 레벨41 (AC -31), 무게13
루어스카스뮴플레이트토	의상류	여자 전사 레벨41 (AC -32), 무게13
루어스카스뮴플레이트풍	의상류	여자 전사 레벨41 (AC -33), 무게13
루어스카스뮴플레이트화	의상류	여자 전사 레벨41 (AC -34), 무게13
밀레스카스뮴플레이트	의상류	여자 전사 레벨41 (AC -30), 무게13
밀레스카스뮴플레이트수	의상류	여자 전사 레벨41 (AC -31), 무게13
밀레스카스뮴플레이트토	의상류	여자 전사 레벨41 (AC -32), 무게13
밀레스카스뮴플레이트풍	의상류	여자 전사 레벨41 (AC -33), 무게13
밀레스카스뮴플레이트화	의상류	여자 전사 레벨41 (AC -34), 무게13
아마존아머	의상류	여자 전사 레벨56 (AC -36), 무게16
아마존아머수	의상류	여자 전사 레벨56 (AC -37), 무게16
아마존아머토	의상류	여자 전사 레벨56 (AC -38), 무게16
아마존아머풍	의상류	여자 전사 레벨56 (AC -39), 무게16
아마존아머화	의상류	여자 전사 레벨56 (AC -40), 무게16
라비린스메일	의상류	여자 전사 레벨71 (AC -43), 무게19
라비린스메일수	의상류	여자 전사 레벨71 (AC -44), 무게19
라비린스메일토	의상류	여자 전사 레벨71 (AC -45), 무게19
라비린스메일풍	의상류	여자 전사 레벨71 (AC -46), 무게19
라비린스메일화	의상류	여자 전사 레벨71 (AC -47), 무게19
수오미라비린스메일	의상류	여자 전사 레벨71 (AC -43), 무게19
수오미라비린스메일수	의상류	여자 전사 레벨71 (AC -44), 무게19
수오미라비린스메일토	의상류	여자 전사 레벨71 (AC -45), 무게19
수오미라비린스메일풍	의상류	여자 전사 레벨71 (AC -46), 무게19
수오미라비린스메일화	의상류	여자 전사 레벨71 (AC -47), 무게19
뤼케시온라비린스메일	의상류	여자 전사 레벨71 (AC -43), 무게19
뤼케시온라비린스메일수	의상류	여자 전사 레벨71 (AC -44), 무게19
뤼케시온라비린스메일토	의상류	여자 전사 레벨71 (AC -45), 무게19
뤼케시온라비린스메일풍	의상류	여자 전사 레벨71 (AC -46), 무게19
뤼케시온라비린스메일화	의상류	여자 전사 레벨71 (AC -47), 무게19
루어스라비린스메일	의상류	여자 전사 레벨71 (AC -43), 무게19
루어스라비린스메일수	의상류	여자 전사 레벨71 (AC -44), 무게19
루어스라비린스메일토	의상류	여자 전사 레벨71 (AC -45), 무게19
루어스라비린스메일풍	의상류	여자 전사 레벨71 (AC -46), 무게19
루어스라비린스메일화	의상류	여자 전사 레벨71 (AC -47), 무게19
밀레스라비린스메일	의상류	여자 전사 레벨71 (AC -43), 무게19
밀레스라비린스메일수	의상류	여자 전사 레벨71 (AC -44), 무게19
밀레스라비린스메일토	의상류	여자 전사 레벨71 (AC -45), 무게19
밀레스라비린스메일풍	의상류	여자 전사 레벨71 (AC -46), 무게19
밀레스라비린스메일화	의상류	여자 전사 레벨71 (AC -47), 무게19
피닉스메일	의상류	여자 전사 레벨86 (AC -49), 무게22
피닉스메일수	의상류	여자 전사 레벨86 (AC -50), 무게22
피닉스메일토	의상류	여자 전사 레벨86 (AC -51), 무게22
피닉스메일풍	의상류	여자 전사 레벨86 (AC -52), 무게22
피닉스메일화	의상류	여자 전사 레벨86 (AC -53), 무게22
세인트아머	의상류	여자 전사 레벨99 (AC -55), 무게25
세인트아머수	의상류	여자 전사 레벨99 (AC -56), 무게25
세인트아머토	의상류	여자 전사 레벨99 (AC -57), 무게25
세인트아머풍	의상류	여자 전사 레벨99 (AC -58), 무게25
세인트아머화	의상류	여자 전사 레벨99 (AC -59), 무게25
꼬뜨	의상류	여자 도적   레벨 1 (AC -10), 무게 4
꼬뜨수	의상류	여자 도적   레벨 1 (AC -11), 무게 4
꼬뜨토	의상류	여자 도적   레벨 1 (AC -12), 무게 4
꼬뜨풍	의상류	여자 도적   레벨 1 (AC -13), 무게 4
꼬뜨화	의상류	여자 도적   레벨 1 (AC -14), 무게 4
수오미꼬뜨	의상류	여자 도적   레벨 1 (AC -10), 무게 4
수오미꼬뜨수	의상류	여자 도적   레벨 1 (AC -11), 무게 4
수오미꼬뜨토	의상류	여자 도적   레벨 1 (AC -12), 무게 4
수오미꼬뜨풍	의상류	여자 도적   레벨 1 (AC -13), 무게 4
수오미꼬뜨화	의상류	여자 도적   레벨 1 (AC -14), 무게 4
뤼케시온꼬뜨	의상류	여자 도적   레벨 1 (AC -10), 무게 4
뤼케시온꼬뜨수	의상류	여자 도적   레벨 1 (AC -11), 무게 4
뤼케시온꼬뜨토	의상류	여자 도적   레벨 1 (AC -12), 무게 4
뤼케시온꼬뜨풍	의상류	여자 도적   레벨 1 (AC -13), 무게 4
뤼케시온꼬뜨화	의상류	여자 도적   레벨 1 (AC -14), 무게 4
루어스꼬뜨	의상류	여자 도적   레벨 1 (AC -10), 무게 4
루어스꼬뜨수	의상류	여자 도적   레벨 1 (AC -11), 무게 4
루어스꼬뜨토	의상류	여자 도적   레벨 1 (AC -12), 무게 4
루어스꼬뜨풍	의상류	여자 도적   레벨 1 (AC -13), 무게 4
루어스꼬뜨화	의상류	여자 도적   레벨 1 (AC -14), 무게 4
밀레스꼬뜨	의상류	여자 도적   레벨 1 (AC -10), 무게 4
밀레스꼬뜨수	의상류	여자 도적   레벨 1 (AC -11), 무게 4
밀레스꼬뜨토	의상류	여자 도적   레벨 1 (AC -12), 무게 4
밀레스꼬뜨풍	의상류	여자 도적   레벨 1 (AC -13), 무게 4
밀레스꼬뜨화	의상류	여자 도적   레벨 1 (AC -14), 무게 4
브리간딘	의상류	여자 도적   레벨11 (AC -20), 무게 6
브리간딘수	의상류	여자 도적   레벨11 (AC -21), 무게 6
브리간딘토	의상류	여자 도적   레벨11 (AC -22), 무게 6
브리간딘풍	의상류	여자 도적   레벨11 (AC -23), 무게 6
브리간딘화	의상류	여자 도적   레벨11 (AC -24), 무게 6
수오미브리간딘	의상류	여자 도적   레벨11 (AC -20), 무게 6
수오미브리간딘수	의상류	여자 도적   레벨11 (AC -21), 무게 6
수오미브리간딘토	의상류	여자 도적   레벨11 (AC -22), 무게 6
수오미브리간딘풍	의상류	여자 도적   레벨11 (AC -23), 무게 6
수오미브리간딘화	의상류	여자 도적   레벨11 (AC -24), 무게 6
뤼케시온브리간딘	의상류	여자 도적   레벨11 (AC -20), 무게 6
뤼케시온브리간딘수	의상류	여자 도적   레벨11 (AC -21), 무게 6
뤼케시온브리간딘토	의상류	여자 도적   레벨11 (AC -22), 무게 6
뤼케시온브리간딘풍	의상류	여자 도적   레벨11 (AC -23), 무게 6
뤼케시온브리간딘화	의상류	여자 도적   레벨11 (AC -24), 무게 6
루어스브리간딘	의상류	여자 도적   레벨11 (AC -20), 무게 6
루어스브리간딘수	의상류	여자 도적   레벨11 (AC -21), 무게 6
루어스브리간딘토	의상류	여자 도적   레벨11 (AC -22), 무게 6
루어스브리간딘풍	의상류	여자 도적   레벨11 (AC -23), 무게 6
루어스브리간딘화	의상류	여자 도적   레벨11 (AC -24), 무게 6
밀레스브리간딘	의상류	여자 도적   레벨11 (AC -20), 무게 6
밀레스브리간딘수	의상류	여자 도적   레벨11 (AC -21), 무게 6
밀레스브리간딘토	의상류	여자 도적   레벨11 (AC -22), 무게 6
밀레스브리간딘풍	의상류	여자 도적   레벨11 (AC -23), 무게 6
밀레스브리간딘화	의상류	여자 도적   레벨11 (AC -24), 무게 6
코르스	의상류	여자 도적   레벨41 (AC -30), 무게 9
코르스수	의상류	여자 도적   레벨41 (AC -31), 무게 9
코르스토	의상류	여자 도적   레벨41 (AC -32), 무게 9
코르스풍	의상류	여자 도적   레벨41 (AC -33), 무게 9
코르스화	의상류	여자 도적   레벨41 (AC -34), 무게 9
수오미코르스	의상류	여자 도적   레벨41 (AC -30), 무게 9
수오미코르스수	의상류	여자 도적   레벨41 (AC -31), 무게 9
수오미코르스토	의상류	여자 도적   레벨41 (AC -32), 무게 9
수오미코르스풍	의상류	여자 도적   레벨41 (AC -33), 무게 9
수오미코르스화	의상류	여자 도적   레벨41 (AC -34), 무게 9
뤼케시온코르스	의상류	여자 도적   레벨41 (AC -30), 무게 9
뤼케시온코르스수	의상류	여자 도적   레벨41 (AC -31), 무게 9
뤼케시온코르스토	의상류	여자 도적   레벨41 (AC -32), 무게 9
뤼케시온코르스풍	의상류	여자 도적   레벨41 (AC -33), 무게 9
뤼케시온코르스화	의상류	여자 도적   레벨41 (AC -34), 무게 9
루어스코르스	의상류	여자 도적   레벨41 (AC -30), 무게 9
루어스코르스수	의상류	여자 도적   레벨41 (AC -31), 무게 9
루어스코르스토	의상류	여자 도적   레벨41 (AC -32), 무게 9
루어스코르스풍	의상류	여자 도적   레벨41 (AC -33), 무게 9
루어스코르스화	의상류	여자 도적   레벨41 (AC -34), 무게 9
밀레스코르스	의상류	여자 도적   레벨41 (AC -30), 무게 9
밀레스코르스수	의상류	여자 도적   레벨41 (AC -31), 무게 9
밀레스코르스토	의상류	여자 도적   레벨41 (AC -32), 무게 9
밀레스코르스풍	의상류	여자 도적   레벨41 (AC -33), 무게 9
밀레스코르스화	의상류	여자 도적   레벨41 (AC -34), 무게 9
페플로스	의상류	여자 도적   레벨71 (AC -40), 무게13
페플로스수	의상류	여자 도적   레벨71 (AC -41), 무게13
페플로스토	의상류	여자 도적   레벨71 (AC -42), 무게13
페플로스풍	의상류	여자 도적   레벨71 (AC -43), 무게13
페플로스화	의상류	여자 도적   레벨71 (AC -44), 무게13
수오미페플로스	의상류	여자 도적   레벨71 (AC -40), 무게13
수오미페플로스수	의상류	여자 도적   레벨71 (AC -41), 무게13
수오미페플로스토	의상류	여자 도적   레벨71 (AC -42), 무게13
수오미페플로스풍	의상류	여자 도적   레벨71 (AC -43), 무게13
수오미페플로스화	의상류	여자 도적   레벨71 (AC -44), 무게13
뤼케시온페플로스	의상류	여자 도적   레벨71 (AC -40), 무게13
뤼케시온페플로스수	의상류	여자 도적   레벨71 (AC -41), 무게13
뤼케시온페플로스토	의상류	여자 도적   레벨71 (AC -42), 무게13
뤼케시온페플로스풍	의상류	여자 도적   레벨71 (AC -43), 무게13
뤼케시온페플로스화	의상류	여자 도적   레벨71 (AC -44), 무게13
루어스페플로스	의상류	여자 도적   레벨71 (AC -40), 무게13
루어스페플로스수	의상류	여자 도적   레벨71 (AC -41), 무게13
루어스페플로스토	의상류	여자 도적   레벨71 (AC -42), 무게13
루어스페플로스풍	의상류	여자 도적   레벨71 (AC -43), 무게13
루어스페플로스화	의상류	여자 도적   레벨71 (AC -44), 무게13
밀레스페플로스	의상류	여자 도적   레벨71 (AC -40), 무게13
밀레스페플로스수	의상류	여자 도적   레벨71 (AC -41), 무게13
밀레스페플로스토	의상류	여자 도적   레벨71 (AC -42), 무게13
밀레스페플로스풍	의상류	여자 도적   레벨71 (AC -43), 무게13
밀레스페플로스화	의상류	여자 도적   레벨71 (AC -44), 무게13
카쿰	의상류	여자 도적   레벨99 (AC -50), 무게18
카쿰수	의상류	여자 도적   레벨99 (AC -51), 무게18
카쿰토	의상류	여자 도적   레벨99 (AC -52), 무게18
카쿰풍	의상류	여자 도적   레벨99 (AC -53), 무게18
카쿰화	의상류	여자 도적   레벨99 (AC -54), 무게18
수오미카쿰	의상류	여자 도적   레벨99 (AC -50), 무게18
수오미카쿰수	의상류	여자 도적   레벨99 (AC -51), 무게18
수오미카쿰토	의상류	여자 도적   레벨99 (AC -52), 무게18
수오미카쿰풍	의상류	여자 도적   레벨99 (AC -53), 무게18
수오미카쿰화	의상류	여자 도적   레벨99 (AC -54), 무게18
뤼케시온카쿰	의상류	여자 도적   레벨99 (AC -50), 무게18
뤼케시온카쿰수	의상류	여자 도적   레벨99 (AC -51), 무게18
뤼케시온카쿰토	의상류	여자 도적   레벨99 (AC -52), 무게18
뤼케시온카쿰풍	의상류	여자 도적   레벨99 (AC -53), 무게18
뤼케시온카쿰화	의상류	여자 도적   레벨99 (AC -54), 무게18
루어스카쿰	의상류	여자 도적   레벨99 (AC -50), 무게18
루어스카쿰수	의상류	여자 도적   레벨99 (AC -51), 무게18
루어스카쿰토	의상류	여자 도적   레벨99 (AC -52), 무게18
루어스카쿰풍	의상류	여자 도적   레벨99 (AC -53), 무게18
루어스카쿰화	의상류	여자 도적   레벨99 (AC -54), 무게18
밀레스카쿰	의상류	여자 도적   레벨99 (AC -50), 무게18
밀레스카쿰수	의상류	여자 도적   레벨99 (AC -51), 무게18
밀레스카쿰토	의상류	여자 도적   레벨99 (AC -52), 무게18
밀레스카쿰풍	의상류	여자 도적   레벨99 (AC -53), 무게18
밀레스카쿰화	의상류	여자 도적   레벨99 (AC -54), 무게18
매직스커트	의상류	여자 마법사  레벨 1 (AC - 8), 무게 4
매직스커트수	의상류	여자 마법사  레벨 1 (AC - 9), 무게 4
매직스커트토	의상류	여자 마법사  레벨 1 (AC -10), 무게 4
매직스커트풍	의상류	여자 마법사  레벨 1 (AC -11), 무게 4
매직스커트화	의상류	여자 마법사  레벨 1 (AC -12), 무게 4
수오미매직스커트	의상류	여자 마법사  레벨 1 (AC - 8), 무게 4
수오미매직스커트수	의상류	여자 마법사  레벨 1 (AC - 9), 무게 4
수오미매직스커트토	의상류	여자 마법사  레벨 1 (AC -10), 무게 4
수오미매직스커트풍	의상류	여자 마법사  레벨 1 (AC -11), 무게 4
수오미매직스커트화	의상류	여자 마법사  레벨 1 (AC -12), 무게 4
뤼케시온매직스커트	의상류	여자 마법사  레벨 1 (AC - 8), 무게 4
뤼케시온매직스커트수	의상류	여자 마법사  레벨 1 (AC - 9), 무게 4
뤼케시온매직스커트토	의상류	여자 마법사  레벨 1 (AC -10), 무게 4
뤼케시온매직스커트풍	의상류	여자 마법사  레벨 1 (AC -11), 무게 4
뤼케시온매직스커트화	의상류	여자 마법사  레벨 1 (AC -12), 무게 4
루어스매직스커트	의상류	여자 마법사  레벨 1 (AC - 8), 무게 4
루어스매직스커트수	의상류	여자 마법사  레벨 1 (AC - 9), 무게 4
루어스매직스커트토	의상류	여자 마법사  레벨 1 (AC -10), 무게 4
루어스매직스커트풍	의상류	여자 마법사  레벨 1 (AC -11), 무게 4
루어스매직스커트화	의상류	여자 마법사  레벨 1 (AC -12), 무게 4
밀레스매직스커트	의상류	여자 마법사  레벨 1 (AC - 8), 무게 4
밀레스매직스커트수	의상류	여자 마법사  레벨 1 (AC - 9), 무게 4
밀레스매직스커트토	의상류	여자 마법사  레벨 1 (AC -10), 무게 4
밀레스매직스커트풍	의상류	여자 마법사  레벨 1 (AC -11), 무게 4
밀레스매직스커트화	의상류	여자 마법사  레벨 1 (AC -12), 무게 4
베누스타	의상류	여자 마법사  레벨11 (AC -16), 무게 5
베누스타수	의상류	여자 마법사  레벨11 (AC -17), 무게 5
베누스타토	의상류	여자 마법사  레벨11 (AC -18), 무게 5
베누스타풍	의상류	여자 마법사  레벨11 (AC -19), 무게 5
베누스타화	의상류	여자 마법사  레벨11 (AC -20), 무게 5
수오미베누스타	의상류	여자 마법사  레벨11 (AC -16), 무게 5
수오미베누스타수	의상류	여자 마법사  레벨11 (AC -17), 무게 5
수오미베누스타토	의상류	여자 마법사  레벨11 (AC -18), 무게 5
수오미베누스타풍	의상류	여자 마법사  레벨11 (AC -19), 무게 5
수오미베누스타화	의상류	여자 마법사  레벨11 (AC -20), 무게 5
뤼케시온베누스타	의상류	여자 마법사  레벨11 (AC -16), 무게 5
뤼케시온베누스타수	의상류	여자 마법사  레벨11 (AC -17), 무게 5
뤼케시온베누스타토	의상류	여자 마법사  레벨11 (AC -18), 무게 5
뤼케시온베누스타풍	의상류	여자 마법사  레벨11 (AC -19), 무게 5
